,0,ladder,CD4T,hESC-H9,HEK293T,RNH2-KO-T3-8,RNH2-KO-T3-17
0,37789.30837566047,2211247.161112953,9134594.73336705,8712117.796372898,6670969.105590726,5613524.634600853,5644341.588578053
1,37720.31707439193,2146943.2023894936,9507167.94394519,8789014.284868427,6697531.635824872,6113798.793592976,5487688.928123686
2,37651.45129975173,2086424.489848172,9786220.525257343,8750334.287425922,6738556.539189355,6466883.864259497,5719440.720330371
3,37582.710823349684,2053923.7319535625,10179311.053048613,8804315.96429936,6922536.457458066,6955852.372443844,6089018.246186309
4,37514.095417211196,2468003.7915303283,10598427.709798198,9155439.087332292,7247629.962218924,7518690.542402987,6394636.47692216
5,37445.60485377643,2905866.7010638863,11101263.012058048,9746042.134567045,7471308.725933449,7911004.504259245,6662639.408219014
6,37377.2389058996,2978128.7998296227,11642145.13540297,10205125.267701477,7510007.703859869,8296687.821068175,6805888.406790515
7,37308.99734684819,3282340.1576925213,11755862.578996737,10282237.32682608,7486785.449524185,8502508.443084735,6984474.507303612
8,37240.879950302224,3563220.9390232284,11557459.380281448,10155194.749598281,7491222.963316581,8749405.168676468,7084497.333049435
9,37172.886490353514,3604415.937055807,11063442.731262753,9854872.900813313,7449284.161462238,8559243.181505911,7018116.945737412
10,37105.01674150488,3553788.5801051836,10441459.692112679,9426267.572659094,7432383.977635805,8142914.273207357,7034995.517919787
11,37037.27047866942,3283900.78958047,9634287.483364342,9098824.6269316,7392793.267312249,7773720.969531921,7012772.636361732
12,36969.64747716981,2830469.0754875992,8376092.41665151,8764790.329017287,7305078.379212085,7583351.020146706,6903909.511955645
13,36902.14751273747,2344545.369178264,7792384.506990346,8489668.385603765,7147623.549796885,7494061.766340541,6869127.213981078
14,36834.770361511895,2042106.288919404,7527471.406312126,8222121.406175293,6966840.210293047,7407140.291194544,6892548.577320368
15,36767.515800039866,1920038.913166313,7095766.41394359,7829562.421445522,6828232.285704264,7249033.935884434,6824942.847035707
16,36700.38360527474,1923551.040659628,6872179.244310574,7685083.649841961,6548200.3940805085,6889693.535614358,6797927.924859911
17,36633.3735545757,1771827.7019835666,6741877.880872534,7560612.998738305,6408272.642341063,6742318.273194057,6709387.623399777
18,36566.48542570699,1698342.6606915372,6683485.540767388,7436745.587101988,6324374.970768877,6720405.603383398,6571287.846596854
19,36499.71899683724,1614195.510866841,6707520.196222108,7330865.458093723,6165941.818528509,6662709.452843653,6391574.706154924
20,36433.074046538655,1415264.8925346197,6559231.521597618,7146222.626777338,5940675.169989329,6427424.152808879,6224902.482283725
21,36366.55035378635,1288578.870044441,6429002.941999764,6935805.404311976,5866229.970815726,6305577.141706918,6151067.9164246395
22,36300.14769795755,1207380.294870518,6189714.325915422,6779203.878756752,5901380.375676171,6267435.878963552,6053532.538202129
23,36233.86585883094,1025430.0617051964,5681026.807269901,6694222.486575519,5883634.107515947,6161396.0180050945,5907334.73062975
24,36167.70461658584,886837.5174542911,5470095.551204425,6571637.242305906,5755513.063486221,5995394.985644503,5763346.056477467
25,36101.663751801556,737232.6095984331,5263490.446751734,6458464.910382199,5644636.928885783,5839865.845268265,5671426.661900238
26,36035.74304545661,572347.8554072039,4979218.678482455,6246938.760722251,5566134.185613092,5769928.261772914,5599959.129411115
27,35969.94227892802,598691.698817535,4899311.159204683,6058865.864922675,5527029.108109678,5670471.736260849,5528211.210964366
28,35904.26123399059,492078.69609987753,4882548.952693778,5868979.811452944,5509707.9608704625,5461814.334956838,5431121.826778731
29,35838.699692816146,349105.21579111175,4798702.494653516,5698291.309960556,5481312.156251869,5337631.356445491,5396424.123969277
30,35773.25743797289,390017.3906807136,4595765.998102421,5577939.305861733,5331651.476645563,5303989.359058136,5411885.487035197
31,35707.9342524246,333395.3692083581,4285157.617159935,5482664.879042861,5134534.2250334555,5249164.92718966,5348991.412982719
32,35642.729919529935,419102.16440696234,3999310.927488086,5339192.994182496,4951876.268370522,5102775.372333311,5302678.625709002
33,35577.64422304175,485939.6051549964,3755672.2064731615,5211893.393973785,4887573.180099225,5058609.916331899,5295519.1032177415
34,35512.67694710634,348039.73639604554,3689719.4634324634,5264967.899082302,4820244.862237369,5127104.463774005,5116589.720630724
35,35447.82787626272,462049.7719633135,3566189.815139549,5351772.649476076,4804056.472930105,5185941.312468814,5008906.424388234
36,35383.09679544195,625765.5468520471,3450897.0869288873,5219260.64358512,4793359.979512078,5085008.101229654,4992640.485593819
37,35318.4834899664,459447.99767202005,3417111.5632654773,5039099.104377418,4797946.139794726,4980851.816642348,4990451.622862247
38,35253.987745549006,350593.60695867107,3426856.2582170875,5020202.996202763,4791357.917289829,5018380.735502171,5050626.526607364
39,35189.609348292615,409415.04008030647,3487369.6793612842,5075580.165366551,4730150.924574763,5108697.34378457,5081174.196937954
40,35125.34808468926,213717.0619878426,3392075.162175362,5105182.747367707,4612623.471005852,5150842.4547149,5073392.785050868
41,35061.20374161942,185992.85721838812,3408818.256462191,5166538.588402625,4713764.409263092,5098834.165079957,5096931.690039828
42,34997.17610635134,275166.3704614573,3464318.774544312,5243961.80431014,4913760.393411609,5035168.329196255,5053408.600388434
43,34933.26496654033,436296.28671512485,3560551.9415675504,5377262.282732495,5043986.337505513,5044380.275098463,5022587.690656633
44,34869.47011022804,500157.8916313646,3602383.5759077044,5536047.001694863,5080048.205383296,5123997.666491806,5074783.32033808
45,34805.79132584178,492358.64109837956,3529364.5739057553,5604268.479368435,5161501.535271814,5126176.610418983,5108482.883311963
46,34742.2284021938,515085.07874349476,3495057.8914841944,5688697.406948738,5237566.075445838,5155739.912188015,5106318.709824508
47,34678.7811284806,553198.9329965983,3520983.77407024,5829435.871862353,5245728.504373275,5248947.874110483,5158904.199583023
48,34615.44929428223,516971.57821448235,3587906.025499904,6109256.790983282,5279511.311412151,5164493.51810458,5100471.338284887
49,34552.232689561584,471831.55427391076,3699613.6028892403,6240915.24822936,5289170.680828025,5221782.210787289,5075081.937877196
50,34489.131104663706,325389.9232847422,3715309.184959855,6192557.733260537,5297419.913021314,5261835.207313442,5090164.80183002
51,34426.14433031512,110130.1565240215,3688123.114619129,5792752.07861999,5337152.437937985,5312202.347763521,5116902.05502185
52,34363.272157623076,0.0,3641114.415479816,5612982.325764781,5341185.044629579,5423958.025022989,5124809.43528445
53,34300.514378074935,0.0,3531090.6041778736,5507666.233166116,5332293.058032769,5451405.88576175,5170619.35767502
54,34237.87078353741,0.0,3506977.6411565966,5488794.043137581,5445610.86865429,5366285.075155826,5187379.822551711
55,34175.341166255916,0.0,3603481.2872540895,5564961.980072423,5629933.898244011,5295491.368640372,5110573.414076096
56,34112.925318853864,0.0,3610074.5165370996,5578630.741899885,5625798.664314649,5289028.493303009,5033468.642395808
