,0,ladder,CD4T,hESC-H9,HEK293T,RNH2-KO-T3-8,RNH2-KO-T3-17
0,29510.42174534821,27831831.996725906,32120994.10232754,30010562.444267884,28490747.829716425,21933024.699690722,22429214.19723318
1,29471.4598094351,27164207.70202517,31805334.203775287,30201832.860082496,28823265.791168913,22389808.1006617,23056894.61834403
2,29432.54630813811,26594043.713831715,31298826.707286336,30253313.165323306,29043640.727545112,22860134.464508638,23947985.307834364
3,29393.681181246884,25985705.1885457,30851096.288567163,30199142.921455193,29012659.823012732,23221728.103726424,24707973.21879281
4,29354.864368625924,25108543.36440645,30512909.614877466,30115001.772395864,28899991.637353364,23567184.98618233,25298612.209296044
5,29316.09581021447,24360158.00665181,30111503.539962042,29917945.50653276,28697750.694238238,23755157.893512603,25853001.100592528
6,29277.375446026435,23699044.38667422,29708985.489526156,29685485.665333845,28363181.195345096,23652879.603745047,26211827.533398673
7,29238.7032161503,23036141.8352646,29469255.463989764,29600181.520807337,28082267.131465644,23498922.104149114,26271744.01401928
8,29200.079060749034,22144990.936678022,29406638.089909334,29441426.680529896,27817264.857716303,23427130.108679894,26361797.16465679
9,29161.502920059975,21536206.74166787,29232292.629204012,29323835.446411707,27597125.415564656,23448755.920669764,26339711.98788199
10,29122.97473439476,20978578.832960147,29110329.700876504,29192544.618962675,27447908.18827314,23503219.990875535,26086224.08815403
11,29084.494444139225,20752542.29240325,28840878.59141691,29129315.942518614,27362273.997115657,23445116.295536537,25774913.50652625
12,29046.061989753325,20562933.386077017,28374250.52234082,29124388.81870212,27213786.33006012,23396221.99510302,25548512.311206035
13,29007.677311771007,20118324.12703042,28083348.299929384,29149534.933851995,27159621.52574047,23298519.110504936,25238760.911777303
14,28969.340350800172,19566337.105984997,27905852.368726406,29223313.514052663,27232293.754869737,23167525.42757353,24975927.23580972
15,28931.051047522527,19092586.601598777,27708120.677280035,29314024.957351703,27285191.755836472,23184028.03493549,24930838.710749224
16,28892.80934269353,18825124.05455542,27567082.348866213,29216680.905872706,27249185.193303596,23172180.96485897,24839280.365884032
17,28854.615177142292,18642193.384181608,27613458.19604825,29228426.23536834,27311374.946605373,23125562.110628877,24787413.228831843
18,28816.46849177147,18560141.20935918,27606456.561796915,29314304.80870328,27398301.1451821,23192502.907968763,24680930.324442305
19,28778.369227557196,18445779.5655455,27492339.665555462,29331176.547171026,27471547.27969956,23356057.572382588,24720017.94161354
20,28740.317325548967,18213370.04694185,27381845.20580321,29236524.517057978,27602019.15092904,23429739.23302347,24853883.79310923
21,28702.312726869575,17991030.147975355,27382323.08287335,29170336.408714563,27820837.017662458,23452833.72265873,24885185.233495135
22,28664.355372714992,17751976.874025382,27329018.58333409,29219128.844160352,27955119.97764439,23490241.35174877,24847315.805510014
23,28626.4452043543,17560608.25940824,27183852.018527377,29340948.508091196,27985946.08151616,23521349.615388244,24870550.86072587
24,28588.582163129588,17465526.4912484,27072180.921196125,29250709.285333015,28229268.360125236,23617775.695999235,24805043.85689369
25,28550.766190455855,17327074.451283656,27151999.624250606,29212911.07480125,28524433.49663651,23682535.217839304,24949402.823458552
26,28512.997227820942,17101933.774131563,27201971.942896128,29149416.948556446,28751917.64792636,23709116.823341023,25060122.30209174
27,28475.275216785423,16994978.150434267,27246021.297637466,29116404.104967047,28894323.674816314,23687778.19148258,25044711.520656437
28,28437.60009898252,16958009.92244313,27398476.53449394,29141317.039246306,29030823.4552703,23727163.104516372,25089248.664840087
29,28399.97181611801,16866767.909651633,27689901.040452126,29320143.329984106,29084898.645047788,23830718.33268092,25073752.90625491
30,28362.39030997014,16769834.174385592,28050443.848035,29557610.747642692,29120311.15860849,23886366.392984852,24934542.69545283
31,28324.855522389527,16667186.575716663,28309173.81114398,29742510.190205537,29213683.67705137,23881061.365153402,24982244.831064347
32,28287.367395299083,16874110.308850404,28493920.181499418,29969053.082846746,29319794.214262214,24084873.52072644,25167040.584574167
33,28249.92587069392,16961797.17589981,28695265.67225468,29972673.439994168,29358653.707257565,24150628.708876964,25218361.498072553
34,28212.53089064125,17033336.39310505,28771722.118512835,30112237.372065235,29469855.84983414,24311701.58331718,25346639.699974284
35,28175.182397280303,17061373.44464421,28858458.2723183,30415862.989024043,29625364.090646755,24486084.93386859,25532530.47910387
36,28137.880332822242,17127713.238130283,29202876.422087494,30670193.547266673,29740269.17877791,24610746.379880108,25782821.247502834
37,28100.624639550068,17073806.627659976,29633430.422800303,30783438.850491203,29857007.797576822,24725979.784966353,26066571.36134367
38,28063.415259818517,16860816.991437692,29959365.34764038,30850211.548909865,29931351.534608852,24856074.757815287,26341166.97098633
39,28026.252136054016,16608825.436257834,30143621.591322348,30920576.023316633,29915673.523957122,24936130.06791012,26484747.990120277
40,27989.13521075453,16471517.172091143,30387428.65569093,31107324.40051855,29960097.331937265,25053758.112175256,26531408.93344189
41,27952.06442648953,16405337.395561896,30674694.354561843,31106883.403929688,30083895.687040843,25236789.23738835,26619415.34501988
42,27915.03972589987,16157163.032805229,30885009.76207147,31033324.451926008,30160326.208284162,25386024.744195513,26687777.735696405
43,27878.061051697714,15957948.563976843,30975091.823031392,30928163.706719775,30271897.13500045,25488268.266285237,26688422.598376762
44,27841.128346666435,15984641.081168292,31147328.540125776,30857558.149114896,30474483.468134772,25739507.40597144,26662510.004493598
45,27804.24155366054,16044562.847861843,31379475.770735946,30730823.444232084,30728583.090195704,26174710.931743693,26619890.662186876
46,27767.400615605562,16065850.28323183,31583423.074602928,30542489.885526363,30831622.97492725,26432361.080092702,26587083.76192778
47,27730.605475498007,16175895.433587275,31722025.109090548,30428908.390748214,30803784.867399927,26428042.17256367,26562464.830625325
48,27693.85607640523,16313970.312445872,31891843.77782432,30225544.095244903,30857468.386323847,26670191.3152653,26692675.2668731
49,27657.15236146536,16341180.738734696,32072374.766874157,30072510.12740229,30778191.6059658,26761537.978955306,26764799.814737815
50,27620.494273887212,16312760.542274414,32389657.59994481,29843417.205746494,30538137.16320145,26953602.09034017,26833730.85287248
51,27583.881756950203,16256363.003692498,32637408.303902116,29735143.60314657,30369722.806146894,27169232.412259303,26942944.232719284
52,27547.314754004263,16110470.699626094,32749075.762054235,29802820.79364712,30347268.705092493,27284604.604802057,27040679.138529323
