,0,ladder,CD4T,hESC-H9,HEK293T,RNH2-KO-T3-8,RNH2-KO-T3-17
0,29510.42174534821,27831831.996725906,16347861.327554896,17516688.444512747,16844790.56501998,17174855.191727046,18903256.680430993
1,29471.4598094351,27164207.70202517,16979098.07407485,18348224.27628897,16835889.606952045,16866222.25116051,18996927.009139415
2,29432.54630813811,26594043.713831715,17721643.15215301,19194577.682484925,17287676.55637943,16504536.450920302,19075531.562691335
3,29393.681181246884,25985705.1885457,18235917.532858673,19955895.840407673,17823970.878278233,16320621.841054669,19211697.326542843
4,29354.864368625924,25108543.36440645,18796565.164962083,20678334.57240157,18485340.704482295,16227378.16860231,19319461.56189153
5,29316.09581021447,24360158.00665181,19119890.834052123,21330696.720696542,19149922.58553797,16230238.59850084,19381450.01496895
6,29277.375446026435,23699044.38667422,19386924.69977523,22141564.321590498,19644406.65908074,16493812.812733734,19478138.17235049
7,29238.7032161503,23036141.8352646,19537590.142097283,22813081.094962087,20195523.27819737,16895377.668778792,19632738.961668253
8,29200.079060749034,22144990.936678022,19443571.584824234,23305028.72105622,20458934.59436826,17269119.30583957,20103499.108782094
9,29161.502920059975,21536206.74166787,19415950.057235673,23788311.863593664,20398994.559686527,17693116.081082195,20639098.05823843
10,29122.97473439476,20978578.832960147,19158547.860010516,24208925.081279743,20456022.451357268,18034805.963947497,21332459.6833095
11,29084.494444139225,20752542.29240325,18806836.2918301,24366100.173857354,20359755.44290572,18120021.70875863,21921298.51467116
12,29046.061989753325,20562933.386077017,18567965.444702446,24411156.211126104,20037295.290697172,18050136.841058683,22393581.993422117
13,29007.677311771007,20118324.12703042,18312343.87872246,24436329.134112787,19780301.274304852,17930481.62201941,22770165.569891132
14,28969.340350800172,19566337.105984997,17937883.5495199,24355874.22556489,19425952.78797771,17819035.34515785,22881814.013989042
15,28931.051047522527,19092586.601598777,17655150.39812597,24235135.912701696,18957232.404625442,17732964.61351747,22766341.76685328
16,28892.80934269353,18825124.05455542,17465856.495760433,24161278.748374797,18593220.62127703,17360130.49677316,22730311.332435183
17,28854.615177142292,18642193.384181608,17290857.541427825,24211895.13553449,18428329.06355225,16908975.68384872,22555800.538757358
18,28816.46849177147,18560141.20935918,17068133.070292246,24198015.67450421,18256898.187452286,16411873.883163681,22382741.40017341
19,28778.369227557196,18445779.5655455,16897491.585126624,24172561.690355577,18103223.518519524,16140788.530348174,22232631.493763912
20,28740.317325548967,18213370.04694185,16800790.72628144,24149878.70278336,17784730.135439537,15991412.619123818,22011660.230453778
21,28702.312726869575,17991030.147975355,16741742.958157124,24072336.171914276,17514133.665808335,15774261.829024717,21701916.857879944
22,28664.355372714992,17751976.874025382,16742205.378550028,23923843.860157944,17351143.36249052,15499443.364618022,21334433.688455194
23,28626.4452043543,17560608.25940824,16757584.756610742,23815374.712479442,17085309.30292033,15334691.449067216,21044504.90742249
24,28588.582163129588,17465526.4912484,16755293.585896747,23634240.02205064,16881477.870315433,15016897.671979047,20867840.907264177
25,28550.766190455855,17327074.451283656,16836055.92551896,23542405.146426268,16634177.895460239,14713862.200359182,20655226.94710208
26,28512.997227820942,17101933.774131563,17008385.20246123,23363251.348739848,16416878.676601306,14543860.492392892,20639205.490473546
27,28475.275216785423,16994978.150434267,17250793.813565098,23164701.14750183,16407902.190230234,14364680.301572287,20802788.30114604
28,28437.60009898252,16958009.92244313,17507491.737725526,22977221.98479866,16455790.282119257,14219862.722641615,20761149.009528544
29,28399.97181611801,16866767.909651633,17722392.5878819,22809597.201168247,16345128.026451545,14271865.374095596,20596620.60510871
30,28362.39030997014,16769834.174385592,17866535.208590604,22666281.63750039,16192502.346640278,14344954.669059206,20483163.63562312
31,28324.855522389527,16667186.575716663,17945129.07158421,22578037.985427417,16135196.630149625,14432214.183472155,20468621.982705913
32,28287.367395299083,16874110.308850404,18091265.432194512,22508531.41436306,16059155.21903748,14510919.691388847,20426181.17496771
33,28249.92587069392,16961797.17589981,18262538.187731754,22519329.929073077,15976691.728323257,14672278.472514434,20409467.5425028
34,28212.53089064125,17033336.39310505,18460425.019848764,22584364.163282003,15793198.907289146,14865666.594084566,20302995.282396443
35,28175.182397280303,17061373.44464421,18606357.14075446,22636321.62657067,15632481.986175384,14936392.021433584,20216162.517749004
36,28137.880332822242,17127713.238130283,18689070.40404114,22676619.98578192,15595684.100396615,15007280.43946474,20199002.67343333
37,28100.624639550068,17073806.627659976,18803802.088220574,22734650.628313188,15602350.482595952,15198282.17516533,20263798.371993974
38,28063.415259818517,16860816.991437692,18964536.57602178,22847330.18867734,15683829.5427789,15310281.720008636,20320718.593292564
39,28026.252136054016,16608825.436257834,19107627.800724614,22920424.33415798,15818567.234947171,15249225.3528449,20331614.903819107
40,27989.13521075453,16471517.172091143,19303865.08080862,23046874.048117355,16009900.873872595,15412898.39856483,20452991.072827734
41,27952.06442648953,16405337.395561896,19442158.4232945,23089277.20757967,16366038.271579599,15578753.753077691,20630976.875110775
42,27915.03972589987,16157163.032805229,19530634.96606045,23229545.947851703,16734063.308663022,15780537.578767233,20875867.70694918
43,27878.061051697714,15957948.563976843,19654187.94914476,23387952.477949675,16952401.250262678,15981052.940639725,20923726.494564265
44,27841.128346666435,15984641.081168292,19821337.38628074,23530399.12921306,17187002.942533158,16171391.763927823,20890898.261205576
45,27804.24155366054,16044562.847861843,19932951.614603236,23713350.005845007,17592114.997829247,16278418.857592423,21064209.442366123
46,27767.400615605562,16065850.28323183,20019620.065142225,23843123.254724935,18095947.37269726,16458893.95269613,21308815.772560157
47,27730.605475498007,16175895.433587275,20154166.18633974,23852387.099718943,18446495.393441316,16714896.429734241,21391833.478513706
48,27693.85607640523,16313970.312445872,20166868.19840326,23924363.89996748,18766352.546690293,17127270.692366354,21477066.543853335
49,27657.15236146536,16341180.738734696,20224565.6694386,24081735.835590765,18943096.90790527,17375824.389451962,21542161.28068337
50,27620.494273887212,16312760.542274414,20306318.316848684,24231998.555911455,19226391.452009562,17756017.830181282,21713245.564497687
51,27583.881756950203,16256363.003692498,20405172.533255592,24388618.2730054,19485032.922218107,17998821.612221986,21994817.805301994
52,27547.314754004263,16110470.699626094,20459081.200664006,24559126.920973,19699866.150800034,18071297.539439734,22301594.034462284
53,27510.793208469742,15908266.268048719,20469278.445811514,24605261.130210143,19920007.811697625,18064657.390893508,22541705.108082935
54,27474.317063837327,15699901.090218835,20456821.7254001,24618357.30909468,20218718.674433745,18002040.099089645,22897018.11993315
55,27437.886263667948,15614258.478232723,20448550.092522465,24691745.641211677,20470360.783552866,17930193.783620365,23253237.416360512
56,27401.500751592703,15752845.930457955,20376358.073924903,24784911.069598813,20663570.262102533,17776722.961934503,23552912.009197623
57,27365.160471312756,15616418.238680506,20478735.595890738,24754343.63806415,20866850.295212917,17774970.721138705,23859507.92886663
58,27328.865366599275,15502110.140697207,20518740.003703635,24825056.168031085,21057830.82070714,17755046.594713964,24224484.86959568
59,27292.615381293297,15539603.434026958,20467624.789160892,24983813.149007753,21238064.652532957,17820401.258266073,24512109.046916045
60,27256.410459305705,15768997.35815234,20433461.07586523,25070111.431496624,21434791.65273947,18000472.374628335,24709693.587360285
61,27220.250544617084,15891635.399643335,20400601.416467868,25065427.469240848,21615935.71760917,18095404.412580367,24880910.379187617
62,27184.13558127767,15731725.181755345,20324703.810665194,25031780.681959666,21763732.78213012,18150443.217547413,25139409.662051592
63,27148.065513407248,15514718.987561645,20261462.946979687,25025426.823810555,21855490.562603172,18227508.719076097,25429620.35990923
