,0,ladder,CD4T,hESC-H9,HEK293T,RNH2-KO-T3-8,RNH2-KO-T3-17
0,38295.12420595432,3732398.878100659,7817649.042635465,8784980.615886409,8287801.221909392,7041019.277523327,7790567.859275713
1,38232.43324872126,3402455.5781765683,7630363.941444941,8687349.995681139,8107476.413673925,7007170.057877921,7486399.617342312
2,38169.84324221024,3135003.0800791294,7406938.841838514,8537006.926201964,7893505.552958054,6833850.588327526,7173581.927543548
3,38107.35402386118,2986545.853979187,7209146.505753513,8279096.980150133,7684105.408198464,6623215.446763477,6985077.184234769
4,38044.965431375735,2908889.7540471954,7065841.980200694,7989222.930159444,7508464.431167519,6511937.330607124,6786747.5949753765
5,37982.67730271691,3052727.9506060905,6935860.01319832,7846591.310108956,7463681.329352817,6372271.275837992,6577012.568132469
6,37920.48947610868,3197030.2287812866,6822725.89022533,7788457.639005184,7444001.453792783,6177503.541305549,6452604.355016254
7,37858.401790035474,3108000.112451808,6746154.283041821,7691320.813025725,7380275.356881193,6063414.635525238,6426254.994738965
8,37796.41408324183,2773157.102712947,6638084.132897772,7506420.249675439,7411060.421457321,5956341.341738334,6368975.317054781
9,37734.52619473196,2433424.2196262623,6570190.51344965,7350082.135507498,7393811.03653675,5866704.759334154,6143209.034714242
10,37672.737963769316,1918251.947201994,6503217.064225205,7133654.125902403,7439406.483653104,5794591.559402325,5946066.952897852
11,37611.04922987618,1545621.007981185,6418571.40043643,6907819.636964837,7603134.736744822,5656730.742498815,5845844.986308701
12,37549.45983283327,1449305.3315434002,6276582.657458042,6748583.07318064,7963478.895025107,5460254.266872041,5748381.473353768
13,37487.96961267929,1520230.0228806054,6129446.500661632,6741153.21784613,8368036.048150634,5393046.004370294,5644366.671066113
14,37426.57840971051,1541795.8621615374,6056567.617405747,6706431.62278128,8501694.191589452,5397404.6579864025,5578909.727689624
15,37365.28606448041,1490835.2239304604,6034912.875885648,6607163.946026224,8373915.1216800455,5329843.715314825,5561555.991123059
16,37304.09241779919,1412914.5768288618,5995592.462863315,6553482.339808788,8117256.733914997,5245538.220635225,5489471.657366557
17,37242.99731073341,1100906.666604118,5963170.051934025,6454697.645143508,7829941.8835553555,5267672.448554101,5460934.961613303
18,37182.00058460555,979847.7696562764,5901231.52672631,6519046.874881899,7639324.702308787,5216085.558746253,5430723.301827314
19,37121.10208099362,1031451.0061002157,5895602.820109733,6575897.509345741,7499689.672802549,5141692.746211877,5438063.217484291
20,37060.30164173072,1110185.9285020425,5927687.737715147,6610902.3700916,7453476.182867243,5094233.842892701,5358955.265433632
21,36999.59910890466,1231619.4986085661,5897240.120611762,6605210.009623195,7462978.353294037,5007264.116679972,5188250.3194902595
22,36938.994324857515,1237504.9701190924,5814603.360573586,6517758.25477004,7423339.831099107,4862402.090722475,5095826.966235281
23,36878.48713218526,1119530.3811051198,5774355.361343065,6536195.315913112,7443724.903006908,4751967.841086534,5132622.487038081
24,36818.07737373732,888718.4554050856,5700713.357375217,6571295.552357752,7343612.934270519,4653323.086232243,5172689.863575316
25,36757.76489261617,917363.5695200226,5685091.320542489,6515489.026557592,7319988.606003698,4670096.838490862,5206535.566415742
26,36697.549532176956,992782.9189858951,5644386.127862965,6366104.725567936,7363609.017013721,4612159.480440853,5086491.668550964
27,36637.431136027066,982722.1814638732,5639329.233993489,6274112.743412009,7401846.906228811,4583053.370634993,5043954.910751178
28,36577.40954802571,800894.116256872,5662925.342868188,6256526.103091365,7299549.683210576,4633430.7030496765,5010821.342744357
29,36517.484612283544,790480.1852169915,5668626.712471101,6204234.565587134,7170656.285962476,4642567.24145601,4873869.719371316
30,36457.65617316225,936662.4761128015,5601185.794390999,6176371.709429243,7176890.159022756,4596438.928557178,4894651.453889233
31,36397.92407527411,1051944.556228138,5544318.26459803,6223493.558949356,7239936.497751253,4608596.518359621,4977910.447257521
32,36338.28816348167,979026.0893474381,5522137.818285223,6200028.407533003,7228223.753704352,4628485.2032734025,4891491.669139029
33,36278.74828289726,1075075.8160060786,5584221.876330403,6211328.223779074,7153895.048311098,4514168.57279894,4785506.208962056
34,36219.30427888262,1100489.7498007603,5615112.94652503,6213638.222657539,7133609.449512636,4401010.184443856,4757974.262037434
35,36159.95599704853,1019386.8721009446,5582014.319393809,6259937.625675031,7162054.666133064,4323078.601759711,4838282.711213756
36,36100.70328325436,716561.0911322568,5539104.405458509,6297332.465310779,7175206.913187271,4316216.848108897,4899477.303004254
37,36041.5459836077,329557.0498601266,5546983.133497443,6318987.351210416,7172990.691228858,4380775.5156144705,4878424.124269996
38,35982.483944463944,119819.22174141022,5605900.96322877,6496016.966727679,7195977.5701522585,4355292.141529364,4790908.125690744
39,35923.51701242591,143860.11844750904,5684468.638838258,6751966.450889233,7207789.4626287,4240881.290911148,4729039.102458944
40,35864.64503434342,562055.0465949342,5684048.1844238555,7193005.910685114,7240714.637788185,4235354.571281411,4645837.5732546
41,35805.86785731292,706513.0770230368,5638436.4118441995,7593320.73827773,7263869.007742511,4221980.575091663,4700647.778899435
42,35747.185328677064,807513.8709401941,5617118.78106293,8082802.264746939,7272971.649303218,4228911.37240395,4723031.6496496545
43,35688.59729602435,744836.3952140238,5645939.377538362,8609305.682414688,7207186.729245057,4287621.457763828,4719358.571212143
44,35630.103607188685,677944.2244056943,5638030.75441183,9118052.475933122,7213356.741208508,4357512.170502657,4727106.308766089
45,35571.70411024901,590763.7390850824,5576006.0843587,9458718.003154602,7362727.5197155895,4416603.899934658,4800376.54603284
46,35513.39865352891,442996.2498052532,5572850.7225902295,9662633.995917616,7428781.083089868,4431737.312829446,4829583.305211984
47,35455.18708559619,234344.03045373104,5652282.508463805,9862592.190324841,7320067.359209628,4427960.173911857,4806293.384276882
48,35397.06925526255,37104.89556044647,5736900.545771336,9939866.584597807,7252296.540005156,4341913.699628605,4718727.259513486
49,35339.04501158311,0.0,5848997.057968931,9683756.46678379,7254214.239533842,4298347.288213457,4700098.741190124
50,35281.11420385607,69598.01392764492,5961446.496951993,9483435.84555411,7284708.939741527,4405375.785387131,4689652.69098684
51,35223.276681622294,134560.94276363685,5953859.423477087,9357712.20341613,7331034.844183985,4525459.923721434,4679159.887655898
52,35165.53229466494,0.0,5830616.3438464105,9067981.645251542,7281402.602706846,4467616.920574311,4657023.617097932
53,35107.88089300905,139069.59230515326,5753025.753398141,8704070.765817884,7189928.01764081,4366515.963999294,4626505.374148758
54,35050.32232692119,310365.6482926307,5813610.920650394,8333121.280665226,7171518.026938269,4340143.532169935,4604185.067540823
55,34992.856446909,253759.13268304672,5876878.457517891,7890983.125307012,7212120.6413211655,4361670.166906049,4590103.34805433
56,34935.483103720886,286867.30314265797,5864005.345178467,7560637.787808363,7255724.896524313,4447357.443729773,4704365.6318868045
57,34878.20214834557,622975.9108083756,5902464.466062564,7492350.957197561,7313913.361188493,4480344.08377064,4735475.918266219
58,34821.013432011736,964287.6451612572,5997530.766896678,7448422.152412913,7320131.920694819,4548798.98228112,4741580.238726832
59,34763.91680618763,1331358.4538297586,6060197.739372238,7297543.890606366,7258165.686368473,4602972.872580224,4707473.009671343
60,34706.91212258069,1358225.2016996064,6068891.763590884,7202569.106140835,7223586.2707037,4587949.811031564,4671562.633766482
61,34649.99923313711,1224492.88925178,6109140.0833939705,7266201.58955063,7245639.792649809,4597101.293020095,4667466.586864917
62,34593.177990041535,1230631.0524808194,6100218.530450528,7278136.73488536,7260457.010263977,4700137.488729515,4737443.572826373
63,34536.448245716616,984633.8829487434,6030492.132511068,7235756.9246623,7243176.715894729,4805121.0522747645,4802577.588081928
