,0,ladder,CD4T,hESC-H9,HEK293T,RNH2-KO-T3-8,RNH2-KO-T3-17
0,37789.30837566047,2211247.161112953,4057872.3049486815,7966572.631547158,7181706.898066952,5827897.855118112,3849333.0206277557
1,37720.31707439193,2146943.2023894936,4130338.951806426,8166468.690726947,7508505.863743075,5657421.248640129,4249594.436159116
2,37651.45129975173,2086424.489848172,4397497.161514825,8940939.925071444,8731304.074377902,5748812.496067427,4504986.587894163
3,37582.710823349684,2053923.7319535625,4686677.878270405,9723853.490656123,10487734.202655474,5957011.876163762,4766936.828598026
4,37514.095417211196,2468003.7915303283,5145681.842025217,10524659.317721734,11493629.895762932,6114673.908373231,5107024.02068303
5,37445.60485377643,2905866.7010638863,5629598.984416723,11281219.601712124,11401808.030674191,6712225.622724419,5320076.6115438165
6,37377.2389058996,2978128.7998296227,5811411.484227143,11216841.996032724,10031383.11426609,7327915.580945229,5539560.558722984
7,37308.99734684819,3282340.1576925213,5860225.359719996,10711213.66358383,9210114.49812943,7990285.206360737,5663280.3584855795
8,37240.879950302224,3563220.9390232284,5864568.62800508,9924976.018690418,8764024.199084021,8158087.046472755,5626224.413031102
9,37172.886490353514,3604415.937055807,5711353.662819719,9181415.328952821,8201083.281299155,7227224.222296111,5435109.509943204
10,37105.01674150488,3553788.5801051836,5546893.59366301,8686299.0218773,7742342.044543948,6410921.2839852525,5142389.548290882
11,37037.27047866942,3283900.78958047,5294199.450579521,8346626.50673555,7432492.219440389,5673995.55028622,5058352.04799128
12,36969.64747716981,2830469.0754875992,5007379.661743733,7986582.604031189,7068144.322646554,5167612.84978915,5098172.548423828
13,36902.14751273747,2344545.369178264,4910374.501794286,7760093.629955704,6847480.128118807,5126732.666259793,4916098.341166033
14,36834.770361511895,2042106.288919404,4842004.67425198,7580673.803221685,6717757.748285731,5067676.897184797,4647053.685922466
15,36767.515800039866,1920038.913166313,4661433.671932853,7473549.979146993,6510920.868807385,5017408.858593943,4584476.843059435
16,36700.38360527474,1923551.040659628,4624673.269793177,7397754.870753136,6409229.897655618,4997667.090225979,4683315.106436276
17,36633.3735545757,1771827.7019835666,4591003.548927682,7223354.398573916,6264082.506208203,4892729.672332292,4547278.969879288
18,36566.48542570699,1698342.6606915372,4533386.563021049,7191188.090160558,6126086.563089371,4687616.5634650355,4377892.926656434
19,36499.71899683724,1614195.510866841,4454943.836914559,7148239.877332105,5984477.711502002,4474467.096289815,4364615.020254612
20,36433.074046538655,1415264.8925346197,4381629.88845409,6968473.819956093,5874804.932906593,4444416.528878504,4409433.092313143
21,36366.55035378635,1288578.870044441,4355911.988529748,6884138.179958555,5848369.760448442,4554694.2278527925,4275719.587562739
22,36300.14769795755,1207380.294870518,4287569.444821311,6762511.828622117,5773704.084737184,4453381.7823603805,4092858.748405414
23,36233.86585883094,1025430.0617051964,4161078.5716639054,6494260.15331424,5600786.399664648,4188747.0891076727,4010678.076937608
24,36167.70461658584,886837.5174542911,4053805.225272496,6331406.4988723025,5520682.10208227,4339468.940421105,3959428.8950531487
25,36101.663751801556,737232.6095984331,3980106.0587908663,6232480.122173994,5449629.684124952,4345569.69173939,3792549.17659755
26,36035.74304545661,572347.8554072039,3934675.667907828,6040095.424791821,5389243.116325532,4193368.5081681497,3546645.1488302983
