,0,ladder,CD4T,hESC-H9,HEK293T,RNH2-KO-T3-8,RNH2-KO-T3-17
0,38295.12420595432,3732398.878100659,6086681.731259137,6470839.11593631,7108580.512836371,7574434.718546901,8076277.263542013
1,38232.43324872126,3402455.5781765683,5872576.904500243,6278397.852341451,6997901.144852909,7467718.8588929465,7913121.6401772965
2,38169.84324221024,3135003.0800791294,5845733.0363702215,6136154.520339343,7001138.41398589,7353613.50029312,7761188.766763854
3,38107.35402386118,2986545.853979187,5815975.337071189,6057090.007594181,7019838.852006812,7235598.6677785,7667729.194696452
4,38044.965431375735,2908889.7540471954,5812845.837385263,5969901.791494602,6948702.807258885,7178212.558932345,7564488.291964504
5,37982.67730271691,3052727.9506060905,5915421.393708395,5987552.920077248,6875245.3027279675,7224078.872206036,7470358.281835865
6,37920.48947610868,3197030.2287812866,5857343.785774052,6038710.335440334,6777689.293729983,7245346.881862931,7393684.49121173
7,37858.401790035474,3108000.112451808,5690153.516451555,5999321.06341321,6677718.742758124,7180559.22352692,7346429.67243643
8,37796.41408324183,2773157.102712947,5669735.116886067,5949911.900768739,6515009.007447728,7058829.182007741,7275209.164220708
9,37734.52619473196,2433424.2196262623,5798231.10807737,5967583.000997516,6387162.107253232,6963899.299125476,7259736.462777062
10,37672.737963769316,1918251.947201994,5858909.239180896,5915946.384925132,6341299.532607604,6911312.011866545,7246580.684939435
11,37611.04922987618,1545621.007981185,5926889.4377706805,5884963.70241746,6444706.636333559,6986761.760200725,7181959.517244451
12,37549.45983283327,1449305.3315434002,6043561.388698055,5914495.662298472,6669856.654331579,6961355.045912463,7095554.352190042
13,37487.96961267929,1520230.0228806054,6083469.705644676,5934152.969312719,7050898.108064175,6923934.55963449,7055621.150185878
14,37426.57840971051,1541795.8621615374,6067696.077736708,5889039.198180219,7419519.8249169085,6983017.880262991,7063590.624343978
15,37365.28606448041,1490835.2239304604,6124939.445333159,5841763.991109495,7598940.588315941,6972960.617652223,7075177.422699123
16,37304.09241779919,1412914.5768288618,6222545.39410182,5907375.039491374,7712552.744124987,6869480.765276645,7028931.268161999
17,37242.99731073341,1100906.666604118,6106231.889376356,6013271.699713974,7827572.884752916,6874754.627330837,6910080.688072925
18,37182.00058460555,979847.7696562764,5969358.896486179,6174708.577666436,7902781.234741565,6866816.65696114,6894813.916251983
19,37121.10208099362,1031451.0061002157,5767109.8380373875,6334648.358698329,7842688.357759782,6884096.74983463,7036934.40022076
20,37060.30164173072,1110185.9285020425,5552622.73930126,6337991.2667683335,7698594.424640436,6939973.457129921,7151599.723108084
