strand,exp,high,low,mod
non-template,CD4T,1.442919986,1.333045185,1.399848656
non-template,CD4T,0.775231527,0.644443742,0.724883107
non-template,CD4T,0.589717985,0.545896315,0.546667359
non-template,CD4T,1.356021927,1.082313818,1.236457763
non-template,CD4T,1.360306439,1.012269356,1.219927714
non-template,hESC,1.102139894,0.92895542,1.031455319
non-template,hESC,0.881901936,0.81851528,0.879660937
non-template,hESC,0.518705296,0.484676334,0.471633005
non-template,hESC,0.696462688,0.616228655,0.677226814
non-template,hESC,1.086914889,0.921082585,1.040306612
non-template,hESC,1.079292544,0.949914381,1.02921098
non-template,HEK293T,1.146525585,0.911924803,1.004042367
non-template,HEK293T,1.461776481,1.144142273,1.294029885
non-template,HEK293T,0.87139884,0.732679249,0.788269062
non-template,HEK293T,3.9099384,2.86043143,3.490378341
non-template,HEK293T,0.789669305,0.694436928,0.718621963
non-template,RNH2AKO-T3-8,1.804465821,1.468601625,1.58084066
non-template,RNH2AKO-T3-8,1.754405536,1.388122281,1.53191373
non-template,RNH2AKO-T3-8,1.71227421,1.383905838,1.501608835
non-template,RNH2AKO-T3-8,1.211868867,1.037884415,1.082616766
non-template,RNH2AKO-T3-8,1.924942013,1.524000177,1.688031709
non-template,RNH2AKO-T3-17,1.514648892,1.269976882,1.329092628
non-template,RNH2AKO-T3-17,1.262899008,1.019997459,1.102220704
non-template,RNH2AKO-T3-17,1.078661783,0.863121585,0.922496758
non-template,RNH2AKO-T3-17,1.676597468,1.397427168,1.468770486
non-template,RNH2AKO-T3-17,1.743341414,1.351775818,1.522683258
template,CD4T,1.563160032,1.591920104,1.578645722
template,CD4T,0.898012681,0.740453095,0.84227831
template,CD4T,0.599119474,0.568579687,0.550527182
template,CD4T,1.551618835,1.348191958,1.454521268
template,CD4T,1.352717203,1.136465191,1.169688709
template,hESC,1.248923151,1.073408364,1.201747802
template,hESC,1.00717328,0.852095199,0.946059691
template,hESC,0.454341623,0.434838781,0.448991926
template,hESC,0.772549652,0.762417263,0.75741333
template,hESC,1.241395905,1.062354286,1.166030967
template,hESC,0.942841563,0.898184711,0.914753097
template,HEK293T,1.195042309,0.962943969,1.08899774
template,HEK293T,1.864381367,1.432631601,1.683931218
template,HEK293T,0.890011139,0.717339103,0.85192003
template,HEK293T,2.977882606,2.360935373,2.84847383
template,HEK293T,0.977715436,0.777161793,0.833096727
template,RNH2AKO-T3-8,2.04757796,1.643766242,1.817449683
template,RNH2AKO-T3-8,2.085086053,1.573338093,1.811971046
template,RNH2AKO-T3-8,1.896093843,1.519047493,1.702199422
template,RNH2AKO-T3-8,1.608208439,1.244814451,1.419311045
template,RNH2AKO-T3-8,2.253680236,1.703499316,2.018756916
template,RNH2AKO-T3-17,1.999404732,1.580555759,1.772873743
template,RNH2AKO-T3-17,1.526965353,1.17461012,1.332943363
template,RNH2AKO-T3-17,1.226443437,0.975812461,1.084131791
template,RNH2AKO-T3-17,1.997162404,1.597498092,1.79996665
template,RNH2AKO-T3-17,1.948101997,1.497372395,1.721468082
