strand,exp,high,low,mod
non-template,CD4T,1.427912714,1.701577214,1.51492245
non-template,CD4T,1.246744166,1.134487694,1.182988732
non-template,CD4T,1.412185361,1.476687814,1.397262322
non-template,CD4T,1.428454862,1.387291007,1.37442641
non-template,CD4T,1.36508089,1.336490057,1.359091988
non-template,hESC,1.661767234,1.534635917,1.549350962
non-template,hESC,1.458018649,1.353545601,1.401219208
non-template,hESC,1.460440165,1.309925565,1.363872864
non-template,hESC,1.38534963,1.219592713,1.281608865
non-template,hESC,1.52642691,1.444601796,1.44441573
non-template,hESC,1.501935768,1.424506238,1.433097074
non-template,HEK293T,1.428883741,1.352645855,1.343383007
non-template,HEK293T,1.558951512,1.364048438,1.390029572
non-template,HEK293T,1.777823208,1.477168544,1.494219871
non-template,HEK293T,2.676380498,2.145042506,2.097792769
non-template,HEK293T,1.920585493,1.714025066,1.621209527
non-template,RNH2AKO-T3-8,1.699224332,1.595117078,1.445759642
non-template,RNH2AKO-T3-8,2.022961881,1.864508338,1.651050742
non-template,RNH2AKO-T3-8,2.264802444,2.035577912,1.842025654
non-template,RNH2AKO-T3-8,2.014982268,1.773325386,1.640682754
non-template,RNH2AKO-T3-8,2.126171697,1.923068144,1.728317277
non-template,RNH2AKO-T3-17,2.126219843,1.912402955,1.737580636
non-template,RNH2AKO-T3-17,1.944418051,1.688120872,1.583738556
non-template,RNH2AKO-T3-17,2.17489362,1.919065414,1.792952069
non-template,RNH2AKO-T3-17,1.724806524,1.485363753,1.445256067
non-template,RNH2AKO-T3-17,1.585687081,1.402207357,1.358915283
template,CD4T,1.595437941,1.925649957,1.689197239
template,CD4T,1.233611465,1.196267038,1.240153049
template,CD4T,1.55636146,1.648420403,1.58926283
template,CD4T,1.560608865,1.473488692,1.468729152
template,CD4T,1.431082763,1.399690813,1.444425657
template,hESC,1.819132651,1.632619666,1.680031831
template,hESC,1.637214035,1.469914074,1.540367459
template,hESC,1.560321978,1.381684179,1.463867101
template,hESC,1.295143334,1.201697659,1.287714365
template,hESC,1.43100159,1.402588397,1.379371815
template,hESC,1.71161029,1.548639472,1.596780171
template,HEK293T,1.572614645,1.376950745,1.468532478
template,HEK293T,1.689405208,1.416500042,1.472200444
template,HEK293T,1.744168308,1.485451727,1.472932817
template,HEK293T,2.204472793,1.913585047,1.761391933
template,HEK293T,2.114183685,1.836741117,1.807252821
template,RNH2AKO-T3-8,2.087113941,1.765276506,1.713761539
template,RNH2AKO-T3-8,2.482789799,2.11592938,2.013084231
template,RNH2AKO-T3-8,2.534823603,2.165491585,2.030799884
template,RNH2AKO-T3-8,2.346641749,1.961477696,1.895418502
template,RNH2AKO-T3-8,2.552746615,2.1051359,2.036521574
template,RNH2AKO-T3-17,2.537950778,2.081519049,2.040168531
template,RNH2AKO-T3-17,2.281747992,1.920146995,1.898247807
template,RNH2AKO-T3-17,2.612433137,2.092957443,2.089573729
template,RNH2AKO-T3-17,2.10139971,1.700061312,1.740550075
template,RNH2AKO-T3-17,1.903209479,1.589870311,1.632292967
