Sample	Celltype	Chromosome	Strand	Start	End	EF
FS185_nucl	CD4T	chr1	+	0	2500000	1.7166548459936943
FS185_nucl	CD4T	chr1	+	2500000	5000000	1.991014776984922
FS185_nucl	CD4T	chr1	+	5000000	7500000	1.7261812324864512
FS185_nucl	CD4T	chr1	+	7500000	10000000	1.7700026103531066
FS185_nucl	CD4T	chr1	+	10000000	12500000	1.8747928617733642
FS185_nucl	CD4T	chr1	+	15000000	17500000	1.7757184422487575
FS185_nucl	CD4T	chr1	+	17500000	20000000	1.7985817698313593
FS185_nucl	CD4T	chr1	+	20000000	22500000	1.6537806951415468
FS185_nucl	CD4T	chr1	+	22500000	25000000	1.6728334681270485
FS185_nucl	CD4T	chr1	+	25000000	27500000	1.8862245255646646
FS185_nucl	CD4T	chr1	+	27500000	30000000	1.6918862411125506
FS185_nucl	CD4T	chr1	+	30000000	32500000	1.8100134336226603
FS185_nucl	CD4T	chr1	+	32500000	35000000	1.526127116138687
FS185_nucl	CD4T	chr1	+	35000000	37500000	1.632822644857495
FS185_nucl	CD4T	chr1	+	37500000	40000000	1.5299376707357868
FS185_nucl	CD4T	chr1	+	40000000	42500000	1.4594424106894306
FS185_nucl	CD4T	chr1	+	42500000	45000000	1.7090337367995017
FS185_nucl	CD4T	chr1	+	45000000	47500000	1.4251474193155276
FS185_nucl	CD4T	chr1	+	52500000	55000000	1.6652123589328478
FS185_nucl	CD4T	chr1	+	110000000	112500000	1.2784410673271644
FS185_nucl	CD4T	chr1	+	115000000	117500000	1.2231880256692096
FS185_nucl	CD4T	chr1	+	150000000	152500000	1.4823057382720328
FS185_nucl	CD4T	chr1	+	152500000	155000000	1.529937670735786
FS185_nucl	CD4T	chr1	+	155000000	157500000	1.8690770298777124
FS185_nucl	CD4T	chr1	+	160000000	162500000	1.3717996549561229
FS185_nucl	CD4T	chr1	+	180000000	182500000	1.2327144121619604
FS185_nucl	CD4T	chr1	+	200000000	202500000	1.4956426793618838
FS185_nucl	CD4T	chr1	+	202500000	205000000	1.6671176362313989
FS185_nucl	CD4T	chr1	+	205000000	207500000	1.350841604672071
FS185_nucl	CD4T	chr1	+	210000000	212500000	1.2689146808344138
FS185_nucl	CD4T	chr1	+	225000000	227500000	1.3089255041039674
FS185_nucl	CD4T	chr1	+	227500000	230000000	1.6004329307821414
FS185_nucl	CD4T	chr1	+	230000000	232500000	1.238430244057611
FS185_nucl	CD4T	chr1	+	232500000	235000000	1.3108307814025175
FS185_nucl	CD4T	chr1	+	235000000	237500000	1.2212827483706594
FS185_nucl	CD4T	chr1	-	0	2500000	1.7171128664141022
FS185_nucl	CD4T	chr1	-	2500000	5000000	1.9820170711106226
FS185_nucl	CD4T	chr1	-	5000000	7500000	1.8009674348072504
FS185_nucl	CD4T	chr1	-	7500000	10000000	1.7113955094782134
FS185_nucl	CD4T	chr1	-	10000000	12500000	1.7609459362559785
FS185_nucl	CD4T	chr1	-	15000000	17500000	1.816213719969641
FS185_nucl	CD4T	chr1	-	17500000	20000000	1.7609459362559803
FS185_nucl	CD4T	chr1	-	20000000	22500000	1.7094897238329143
FS185_nucl	CD4T	chr1	-	22500000	25000000	1.6923376530252277
FS185_nucl	CD4T	chr1	-	25000000	27500000	1.7190186520594086
FS185_nucl	CD4T	chr1	-	27500000	30000000	1.7571343649653826
FS185_nucl	CD4T	chr1	-	30000000	32500000	1.6885260817346304
FS185_nucl	CD4T	chr1	-	32500000	35000000	1.4541144473628935
FS185_nucl	CD4T	chr1	-	35000000	37500000	1.6027657276961897
FS185_nucl	CD4T	chr1	-	37500000	40000000	1.5646500147902171
FS185_nucl	CD4T	chr1	-	40000000	42500000	1.4159987344569198
FS185_nucl	CD4T	chr1	-	42500000	45000000	1.715207080768812
FS185_nucl	CD4T	chr1	-	45000000	47500000	1.4293392339740107
FS185_nucl	CD4T	chr1	-	50000000	52500000	1.2292317412176492
FS185_nucl	CD4T	chr1	-	52500000	55000000	1.6694682252816437
FS185_nucl	CD4T	chr1	-	110000000	112500000	1.2997458100937005
FS185_nucl	CD4T	chr1	-	150000000	152500000	1.5055706597859577
FS185_nucl	CD4T	chr1	-	152500000	155000000	1.4522086617175942
FS185_nucl	CD4T	chr1	-	155000000	157500000	1.8486120759397147
FS185_nucl	CD4T	chr1	-	160000000	162500000	1.4445855191364003
FS185_nucl	CD4T	chr1	-	180000000	182500000	1.2978400244484019
FS185_nucl	CD4T	chr1	-	200000000	202500000	1.608483084632086
FS185_nucl	CD4T	chr1	-	202500000	205000000	1.598954156405593
