Sample	Celltype	Chromosome	Strand	Start	End	EF
FS185_nucl	CD4T	chr1	+	0	5000000	1.8538348114893082
FS185_nucl	CD4T	chr1	+	5000000	10000000	1.7480919214197788
FS185_nucl	CD4T	chr1	+	10000000	15000000	1.4422949150024773
FS185_nucl	CD4T	chr1	+	15000000	20000000	1.7871501060400583
FS185_nucl	CD4T	chr1	+	20000000	25000000	1.6633070816342979
FS185_nucl	CD4T	chr1	+	25000000	30000000	1.7890553833386076
FS185_nucl	CD4T	chr1	+	30000000	35000000	1.6680702748806735
FS185_nucl	CD4T	chr1	+	35000000	40000000	1.5813801577966407
FS185_nucl	CD4T	chr1	+	40000000	45000000	1.5842380737444661
FS185_nucl	CD4T	chr1	+	45000000	50000000	1.274630512730064
FS185_nucl	CD4T	chr1	+	50000000	55000000	1.4137157555242261
FS185_nucl	CD4T	chr1	+	55000000	60000000	1.0317076571649173
FS185_nucl	CD4T	chr1	+	90000000	95000000	1.0812448669272219
FS185_nucl	CD4T	chr1	+	110000000	115000000	1.2022299753851577
FS185_nucl	CD4T	chr1	+	115000000	120000000	1.1755560932054552
FS185_nucl	CD4T	chr1	+	150000000	155000000	1.5061217045039093
FS185_nucl	CD4T	chr1	+	155000000	160000000	1.4318158898604507
FS185_nucl	CD4T	chr1	+	160000000	165000000	1.1422137404808272
FS185_nucl	CD4T	chr1	+	165000000	170000000	1.0698132031359209
FS185_nucl	CD4T	chr1	+	175000000	180000000	1.049807791501144
FS185_nucl	CD4T	chr1	+	180000000	185000000	1.1212556901967754
FS185_nucl	CD4T	chr1	+	200000000	205000000	1.5813801577966413
FS185_nucl	CD4T	chr1	+	205000000	210000000	1.2222353870199343
FS185_nucl	CD4T	chr1	+	210000000	215000000	1.1584085975185037
FS185_nucl	CD4T	chr1	+	220000000	225000000	1.0640973712402702
FS185_nucl	CD4T	chr1	+	225000000	230000000	1.4546792174430543
FS185_nucl	CD4T	chr1	+	230000000	235000000	1.2746305127300643
FS185_nucl	CD4T	chr1	+	240000000	245000000	1.0021758590373895
FS185_nucl	CD4T	chr1	-	0	5000000	1.8495649687623623
FS185_nucl	CD4T	chr1	-	5000000	10000000	1.7561814721427318
FS185_nucl	CD4T	chr1	-	10000000	15000000	1.4207631985701652
FS185_nucl	CD4T	chr1	-	15000000	20000000	1.7885798281128107
FS185_nucl	CD4T	chr1	-	20000000	25000000	1.7009136884290712
FS185_nucl	CD4T	chr1	-	25000000	30000000	1.7380765085123955
FS185_nucl	CD4T	chr1	-	30000000	35000000	1.571320264548762
FS185_nucl	CD4T	chr1	-	35000000	40000000	1.5837078712432036
FS185_nucl	CD4T	chr1	-	40000000	45000000	1.565602907612866
FS185_nucl	CD4T	chr1	-	45000000	50000000	1.2187499201685064
FS185_nucl	CD4T	chr1	-	50000000	55000000	1.4493499832496464
FS185_nucl	CD4T	chr1	-	55000000	60000000	1.102496995805287
FS185_nucl	CD4T	chr1	-	60000000	65000000	1.0119721776535995
FS185_nucl	CD4T	chr1	-	110000000	115000000	1.2397135622667919
FS185_nucl	CD4T	chr1	-	115000000	120000000	1.0567581403181185
FS185_nucl	CD4T	chr1	-	150000000	155000000	1.478889660751776
FS185_nucl	CD4T	chr1	-	155000000	160000000	1.4274334483287092
FS185_nucl	CD4T	chr1	-	160000000	165000000	1.1653879221001433
FS185_nucl	CD4T	chr1	-	165000000	170000000	1.1482358512924553
FS185_nucl	CD4T	chr1	-	180000000	185000000	1.181587100085182
FS185_nucl	CD4T	chr1	-	200000000	205000000	1.6037186205188394
FS185_nucl	CD4T	chr1	-	205000000	210000000	1.2073152062967143
FS185_nucl	CD4T	chr1	-	210000000	215000000	1.158717672341598
FS185_nucl	CD4T	chr1	-	225000000	230000000	1.407422699053075
FS185_nucl	CD4T	chr1	-	230000000	235000000	1.2235143842817533
FS185_nucl	CD4T	chr1	-	235000000	240000000	1.035794498219833
FS185_nucl	CD4T	chr10	+	0	5000000	1.195561504840232
FS185_nucl	CD4T	chr10	+	5000000	10000000	1.1374505472344518
FS185_nucl	CD4T	chr10	+	10000000	15000000	1.2422407986547113
FS185_nucl	CD4T	chr10	+	25000000	30000000	1.0240865479707166
FS185_nucl	CD4T	chr10	+	30000000	35000000	1.0640973712402702
FS185_nucl	CD4T	chr10	+	70000000	75000000	1.4756372677271063
FS185_nucl	CD4T	chr10	+	75000000	80000000	1.3232150838430925
FS185_nucl	CD4T	chr10	+	85000000	90000000	1.0660026485388199
FS185_nucl	CD4T	chr10	+	90000000	95000000	1.0107496068808655
FS185_nucl	CD4T	chr10	+	95000000	100000000	1.2212827483706588
FS185_nucl	CD4T	chr10	+	100000000	105000000	1.5042164272053593
FS185_nucl	CD4T	chr10	+	110000000	115000000	1.1536454042721282
FS185_nucl	CD4T	chr10	+	115000000	120000000	1.1593612361677788
FS185_nucl	CD4T	chr10	+	120000000	125000000	1.2822516219242643
FS185_nucl	CD4T	chr10	+	125000000	130000000	1.2460513532518116
FS185_nucl	CD4T	chr10	+	130000000	133797422	1.5512451316135745
FS185_nucl	CD4T	chr10	-	0	5000000	1.1653879221001433
FS185_nucl	CD4T	chr10	-	5000000	10000000	1.145377172824507
FS185_nucl	CD4T	chr10	-	10000000	15000000	1.1834928857304807
FS185_nucl	CD4T	chr10	-	25000000	30000000	1.0538994618501705
FS185_nucl	CD4T	chr10	-	30000000	35000000	1.0119721776535995
FS185_nucl	CD4T	chr10	-	70000000	75000000	1.4779367679291258
FS185_nucl	CD4T	chr10	-	75000000	80000000	1.2463838120253368
FS185_nucl	CD4T	chr10	-	90000000	95000000	1.0348416053971836
FS185_nucl	CD4T	chr10	-	95000000	100000000	1.2463838120253368
FS185_nucl	CD4T	chr10	-	100000000	105000000	1.5131938023671523
FS185_nucl	CD4T	chr10	-	110000000	115000000	1.1796813144398834
FS185_nucl	CD4T	chr10	-	115000000	120000000	1.137754030243312
FS185_nucl	CD4T	chr10	-	120000000	125000000	1.301651595738999
FS185_nucl	CD4T	chr10	-	125000000	130000000	1.2416193479120907
FS185_nucl	CD4T	chr10	-	130000000	133797422	1.5675934588836211
FS185_nucl	CD4T	chr11	+	0	5000000	1.8128713495704805
FS185_nucl	CD4T	chr11	+	5000000	10000000	1.1679349840112545
FS185_nucl	CD4T	chr11	+	10000000	15000000	1.1212556901967754
FS185_nucl	CD4T	chr11	+	15000000	20000000	1.1241136061446007
FS185_nucl	CD4T	chr11	+	45000000	50000000	1.138403185883727
FS185_nucl	CD4T	chr11	+	60000000	65000000	1.7290391484342753
FS185_nucl	CD4T	chr11	+	65000000	70000000	1.9148036850429169
FS185_nucl	CD4T	chr11	+	70000000	75000000	1.546132527773462
FS185_nucl	CD4T	chr11	+	75000000	80000000	1.4156210328227767
FS185_nucl	CD4T	chr11	+	110000000	115000000	1.126971522092426
FS185_nucl	CD4T	chr11	+	115000000	120000000	1.639491115402419
FS185_nucl	CD4T	chr11	+	120000000	125000000	1.1927035888924067
FS185_nucl	CD4T	chr11	+	125000000	130000000	1.2441460759532614
FS185_nucl	CD4T	chr11	+	130000000	135000000	1.2479566305503618
FS185_nucl	CD4T	chr11	+	135000000	135086622	1.2097417679141464
FS185_nucl	CD4T	chr11	-	0	5000000	1.8305071123093763
FS185_nucl	CD4T	chr11	-	5000000	10000000	1.1691994933907408
FS185_nucl	CD4T	chr11	-	10000000	15000000	1.1625292436321952
FS185_nucl	CD4T	chr11	-	15000000	20000000	1.1787284216172338
FS185_nucl	CD4T	chr11	-	30000000	35000000	1.0377002838651317
FS185_nucl	CD4T	chr11	-	45000000	50000000	1.17015238621339
FS185_nucl	CD4T	chr11	-	60000000	65000000	1.7666632931918727
FS185_nucl	CD4T	chr11	-	65000000	70000000	1.9353253228008058
FS185_nucl	CD4T	chr11	-	70000000	75000000	1.4817483392197242
FS185_nucl	CD4T	chr11	-	75000000	80000000	1.3235681306599338
FS185_nucl	CD4T	chr11	-	110000000	115000000	1.17015238621339
FS185_nucl	CD4T	chr11	-	115000000	120000000	1.5570268722090215
FS185_nucl	CD4T	chr11	-	120000000	125000000	1.2311375268629479
FS185_nucl	CD4T	chr11	-	125000000	130000000	1.158717672341598
FS185_nucl	CD4T	chr11	-	130000000	135000000	1.2806879536407136
FS185_nucl	CD4T	chr11	-	135000000	135086622	1.1550616053448381
FS185_nucl	CD4T	chr12	+	0	5000000	1.428957973912628
FS185_nucl	CD4T	chr12	+	5000000	10000000	1.3298835543880172
FS185_nucl	CD4T	chr12	+	10000000	15000000	1.0345655731127426
FS185_nucl	CD4T	chr12	+	45000000	50000000	1.2812989832749888
FS185_nucl	CD4T	chr12	+	50000000	55000000	1.5556589142662132
FS185_nucl	CD4T	chr12	+	55000000	60000000	1.221282748370658
FS185_nucl	CD4T	chr12	+	95000000	100000000	1.0421866823069432
FS185_nucl	CD4T	chr12	+	105000000	110000000	1.3737049322546728
FS185_nucl	CD4T	chr12	+	110000000	115000000	1.5185060069444851
FS185_nucl	CD4T	chr12	+	115000000	120000000	1.3022570335590413
FS185_nucl	CD4T	chr12	+	120000000	125000000	1.8176345428168603
FS185_nucl	CD4T	chr12	+	125000000	130000000	1.0355182117620176
FS185_nucl	CD4T	chr12	+	130000000	133275309	1.6749594334080953
FS185_nucl	CD4T	chr12	-	0	5000000	1.5379690157560348
FS185_nucl	CD4T	chr12	-	5000000	10000000	1.324521023482582
FS185_nucl	CD4T	chr12	-	10000000	15000000	1.0405589623330798
FS185_nucl	CD4T	chr12	-	45000000	50000000	1.2864053105766087
FS185_nucl	CD4T	chr12	-	50000000	55000000	1.6361169764889165
FS185_nucl	CD4T	chr12	-	55000000	60000000	1.2454309192026871
FS185_nucl	CD4T	chr12	-	65000000	70000000	1.1463300656471556
FS185_nucl	CD4T	chr12	-	100000000	105000000	1.0605697116087158
FS185_nucl	CD4T	chr12	-	105000000	110000000	1.3111805239654921
FS185_nucl	CD4T	chr12	-	110000000	115000000	1.5417805870466321
FS185_nucl	CD4T	chr12	-	115000000	120000000	1.3121334167881418
FS185_nucl	CD4T	chr12	-	120000000	125000000	1.778098007063668
FS185_nucl	CD4T	chr12	-	125000000	130000000	1.0882036034655467
FS185_nucl	CD4T	chr12	-	130000000	133275309	1.6598218712303066
FS185_nucl	CD4T	chr13	+	20000000	25000000	1.1241136061446007
FS185_nucl	CD4T	chr13	+	25000000	30000000	1.1679349840112545
FS185_nucl	CD4T	chr13	+	40000000	45000000	1.0212286320228914
FS185_nucl	CD4T	chr13	+	45000000	50000000	1.0364708504112927
FS185_nucl	CD4T	chr13	+	95000000	100000000	1.1231609674953256
FS185_nucl	CD4T	chr13	+	110000000	114364328	1.4597523310365945
FS185_nucl	CD4T	chr13	-	20000000	25000000	1.17015238621339
FS185_nucl	CD4T	chr13	-	25000000	30000000	1.106308567095884
FS185_nucl	CD4T	chr13	-	30000000	35000000	1.0348416053971836
FS185_nucl	CD4T	chr13	-	40000000	45000000	1.0081606063630022
FS185_nucl	CD4T	chr13	-	95000000	100000000	1.0929680675787936
FS185_nucl	CD4T	chr13	-	110000000	114364328	1.3683297658673965
FS185_nucl	CD4T	chr14	+	20000000	25000000	1.2679620421851379
FS185_nucl	CD4T	chr14	+	50000000	55000000	1.0479025142025937
FS185_nucl	CD4T	chr14	+	60000000	65000000	1.0136075228286905
FS185_nucl	CD4T	chr14	+	65000000	70000000	1.2574830170431124
