Sample	Chromosome	Strand	Start	End	Count
dsF	chr1	+	0	500000	1419355
dsF	chr1	+	500000	1000000	1781359
dsF	chr1	+	1000000	1500000	1939765
dsF	chr1	+	1500000	2000000	1775203
dsF	chr1	+	2000000	2500000	1877027
dsF	chr1	+	2500000	3000000	2096966
dsF	chr1	+	3000000	3500000	1902391
dsF	chr1	+	3500000	4000000	1847832
dsF	chr1	+	4000000	4500000	1847674
dsF	chr1	+	4500000	5000000	1821244
dsF	chr1	+	5000000	5500000	1836036
dsF	chr1	+	5500000	6000000	1935063
dsF	chr1	+	6000000	6500000	1850495
dsF	chr1	+	6500000	7000000	1786677
dsF	chr1	+	7000000	7500000	1848052
dsF	chr1	+	7500000	8000000	1888189
dsF	chr1	+	8000000	8500000	1781902
dsF	chr1	+	8500000	9000000	1781351
dsF	chr1	+	9000000	9500000	1824891
dsF	chr1	+	9500000	10000000	1715654
dsF	chr1	+	10000000	10500000	1733751
dsF	chr1	+	10500000	11000000	1878061
dsF	chr1	+	11000000	11500000	1781903
dsF	chr1	+	11500000	12000000	1824348
dsF	chr1	+	12000000	12500000	1882922
dsF	chr1	+	12500000	13000000	1662579
dsF	chr1	+	13000000	13500000	1551833
dsF	chr1	+	13500000	14000000	1797841
dsF	chr1	+	14000000	14500000	1838353
dsF	chr1	+	14500000	15000000	1790140
dsF	chr1	+	15000000	15500000	1815962
dsF	chr1	+	15500000	16000000	1783470
dsF	chr1	+	16000000	16500000	1766480
dsF	chr1	+	16500000	17000000	3015230
dsF	chr1	+	17000000	17500000	1789743
dsF	chr1	+	17500000	18000000	1823835
dsF	chr1	+	18000000	18500000	1880912
dsF	chr1	+	18500000	19000000	1924797
dsF	chr1	+	19000000	19500000	1826376
dsF	chr1	+	19500000	20000000	1829446
dsF	chr1	+	20000000	20500000	1844932
dsF	chr1	+	20500000	21000000	1797568
dsF	chr1	+	21000000	21500000	1736023
dsF	chr1	+	21500000	22000000	1818897
dsF	chr1	+	22000000	22500000	1829461
dsF	chr1	+	22500000	23000000	1850307
dsF	chr1	+	23000000	23500000	1798222
dsF	chr1	+	23500000	24000000	1783690
dsF	chr1	+	24000000	24500000	1840635
dsF	chr1	+	24500000	25000000	1891357
dsF	chr1	+	25000000	25500000	1664208
dsF	chr1	+	25500000	26000000	1860386
dsF	chr1	+	26000000	26500000	1774283
dsF	chr1	+	26500000	27000000	1787166
dsF	chr1	+	27000000	27500000	1802456
dsF	chr1	+	27500000	28000000	1848335
dsF	chr1	+	28000000	28500000	1770647
dsF	chr1	+	28500000	29000000	1733788
dsF	chr1	+	29000000	29500000	1857094
dsF	chr1	+	29500000	30000000	1895009
dsF	chr1	+	30000000	30500000	1912378
dsF	chr1	+	30500000	31000000	1933957
dsF	chr1	+	31000000	31500000	1777427
dsF	chr1	+	31500000	32000000	1877835
dsF	chr1	+	32000000	32500000	1789152
dsF	chr1	+	32500000	33000000	1778126
dsF	chr1	+	33000000	33500000	1872670
dsF	chr1	+	33500000	34000000	1927996
dsF	chr1	+	34000000	34500000	1836793
dsF	chr1	+	34500000	35000000	1863205
dsF	chr1	+	35000000	35500000	1794962
dsF	chr1	+	35500000	36000000	1797566
dsF	chr1	+	36000000	36500000	1795128
dsF	chr1	+	36500000	37000000	1911848
dsF	chr1	+	37000000	37500000	1891449
dsF	chr1	+	37500000	38000000	1770013
dsF	chr1	+	38000000	38500000	1838125
dsF	chr1	+	38500000	39000000	1811811
dsF	chr1	+	39000000	39500000	1789235
dsF	chr1	+	39500000	40000000	1781023
dsF	chr1	+	40000000	40500000	1857186
dsF	chr1	+	40500000	41000000	1844417
dsF	chr1	+	41000000	41500000	1930841
dsF	chr1	+	41500000	42000000	1970862
dsF	chr1	+	42000000	42500000	1902524
dsF	chr1	+	42500000	43000000	1811865
dsF	chr1	+	43000000	43500000	1851694
dsF	chr1	+	43500000	44000000	1894334
dsF	chr1	+	44000000	44500000	1858262
dsF	chr1	+	44500000	45000000	1772744
dsF	chr1	+	45000000	45500000	1854729
dsF	chr1	+	45500000	46000000	1817176
dsF	chr1	+	46000000	46500000	1870484
dsF	chr1	+	46500000	47000000	1835929
dsF	chr1	+	47000000	47500000	1782295
dsF	chr1	+	47500000	48000000	1882218
dsF	chr1	+	48000000	48500000	1899387
dsF	chr1	+	48500000	49000000	1943793
dsF	chr1	+	49000000	49500000	1889806
dsF	chr1	+	49500000	50000000	1881275
dsF	chr1	+	50000000	50500000	1785749
dsF	chr1	+	50500000	51000000	1855189
dsF	chr1	+	51000000	51500000	1835720
dsF	chr1	+	51500000	52000000	1885361
dsF	chr1	+	52000000	52500000	1797093
dsF	chr1	+	52500000	53000000	1756832
dsF	chr1	+	53000000	53500000	1931724
dsF	chr1	+	53500000	54000000	1871295
dsF	chr1	+	54000000	54500000	1879626
dsF	chr1	+	54500000	55000000	1846185
dsF	chr1	+	55000000	55500000	1907249
dsF	chr1	+	55500000	56000000	1918566
dsF	chr1	+	56000000	56500000	1848412
dsF	chr1	+	56500000	57000000	1900227
dsF	chr1	+	57000000	57500000	1991050
dsF	chr1	+	57500000	58000000	1923174
dsF	chr1	+	58000000	58500000	1890527
dsF	chr1	+	58500000	59000000	1963219
dsF	chr1	+	59000000	59500000	1998738
dsF	chr1	+	59500000	60000000	1944420
dsF	chr1	+	60000000	60500000	1920233
dsF	chr1	+	60500000	61000000	1922237
dsF	chr1	+	61000000	61500000	1892544
dsF	chr1	+	61500000	62000000	1825986
dsF	chr1	+	62000000	62500000	1747052
dsF	chr1	+	62500000	63000000	1901050
dsF	chr1	+	63000000	63500000	1850327
dsF	chr1	+	63500000	64000000	1889305
dsF	chr1	+	64000000	64500000	1874490
dsF	chr1	+	64500000	65000000	1859542
dsF	chr1	+	65000000	65500000	1841073
dsF	chr1	+	65500000	66000000	1939818
dsF	chr1	+	66000000	66500000	2025988
dsF	chr1	+	66500000	67000000	1936096
dsF	chr1	+	67000000	67500000	1907192
dsF	chr1	+	67500000	68000000	1925875
dsF	chr1	+	68000000	68500000	1847288
dsF	chr1	+	68500000	69000000	1943876
dsF	chr1	+	69000000	69500000	1942788
dsF	chr1	+	69500000	70000000	1897580
dsF	chr1	+	70000000	70500000	1849597
