Sample	Celltype	Chromosome	Strand	Start	End	Count	EF
FS185_nucl	CD4T	chr1	+	0.0	5000000	1946	1.8540820891943997
FS185_nucl	CD4T	chr1	+	5000000.0	10000000	1835	1.748325094384236
FS185_nucl	CD4T	chr1	+	10000000.0	15000000	1514	1.442487298581871
FS185_nucl	CD4T	chr1	+	15000000.0	20000000	1876	1.787388488863666
FS185_nucl	CD4T	chr1	+	20000000.0	25000000	1746	1.663528945392303
FS185_nucl	CD4T	chr1	+	25000000.0	30000000	1878	1.789294020301687
FS185_nucl	CD4T	chr1	+	30000000.0	35000000	1751	1.6682927739873556
FS185_nucl	CD4T	chr1	+	35000000.0	40000000	1660	1.5815910935574016
FS185_nucl	CD4T	chr1	+	40000000.0	45000000	1663	1.584449390714433
FS185_nucl	CD4T	chr1	+	45000000.0	50000000	1338	1.274800532036026
FS185_nucl	CD4T	chr1	+	50000000.0	55000000	1484	1.4139043270115565
FS185_nucl	CD4T	chr1	+	110000000.0	115000000	1262	1.2023903373912295
FS185_nucl	CD4T	chr1	+	150000000.0	155000000	1581	1.5063226017555733
FS185_nucl	CD4T	chr1	+	155000000.0	160000000	1503	1.4320068756727558
FS185_nucl	CD4T	chr1	+	200000000.0	205000000	1660	1.5815910935574016
FS185_nucl	CD4T	chr1	+	205000000.0	210000000	1283	1.2223984174904496
FS185_nucl	CD4T	chr1	+	225000000.0	230000000	1527	1.4548732529290074
FS185_nucl	CD4T	chr1	+	230000000.0	235000000	1338	1.274800532036026
FS185_nucl	CD4T	chr1	-	0.0	5000000	1941	1.8493182605993472
FS185_nucl	CD4T	chr1	-	5000000.0	10000000	1843	1.75594722013632
FS185_nucl	CD4T	chr1	-	10000000.0	15000000	1491	1.42057368704463
FS185_nucl	CD4T	chr1	-	15000000.0	20000000	1877	1.7883412545826765
FS185_nucl	CD4T	chr1	-	20000000.0	25000000	1785	1.700686808433712
FS185_nucl	CD4T	chr1	-	25000000.0	30000000	1824	1.7378446714751208
FS185_nucl	CD4T	chr1	-	30000000.0	35000000	1649	1.5711106706482862
FS185_nucl	CD4T	chr1	-	35000000.0	40000000	1662	1.5834966249954225
FS185_nucl	CD4T	chr1	-	40000000.0	45000000	1643	1.5653940763342236
FS185_nucl	CD4T	chr1	-	45000000.0	50000000	1279	1.2185873546144075
FS185_nucl	CD4T	chr1	-	50000000.0	55000000	1521	1.4491566586149445
